id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"79","billig","Adjektiv","","","cheap / inexpensive","bil-lik","Einkaufen, Geld & Konsum","teuer","Diese Schuhe waren sehr billig.","These shoes were very cheap."
"80","die Birne","Nomen","die","die Birnen","pear","beer-neh","Essen, Kochen & Restaurant","","Die Birne schmeckt süß.","The pear tastes sweet."
"81","bis","Andere","","","until / as far as","bis","Grammatik, Pronomen & Struktur","ab","Ich bleibe bis Freitag hier.","I'm staying here until Friday."
"82","bisschen","Andere","","","a little / a bit","bis-khen","Zahlen, Maße & Mengen","viel","Ich spreche nur ein bisschen Deutsch.","I speak only a little German."
"83","bitte","Andere","","","please / you're welcome","bit-teh","Basiswortschatz & Floskeln","danke","Einen Kaffee, bitte.","A coffee, please."
"84","die Bitte","Nomen","die","die Bitten","request","bit-teh","Kommunikation, Medien & Sprache","","Ich habe eine große Bitte an dich.","I have a big request for you."
"85","bitten","Verb","","","to ask / to request","bit-ten","Kommunikation, Medien & Sprache","","Ich bitte dich um Hilfe.","I ask you for help."
"86","bitter","Adjektiv","","","bitter","bit-ter","Essen, Kochen & Restaurant","süß","Der Kaffee ist mir zu bitter.","The coffee is too bitter for me."
"87","bleiben","Verb","","","to stay / to remain","bly-ben","Allgemeine Aktivitäten & Verben","gehen","Heute bleibe ich zu Hause.","Today I'm staying at home."
"88","der Bleistift","Nomen","der","die Bleistifte","pencil","bly-shtift","Ausbildung, Schule & Studium","der Kugelschreiber","Schreib bitte mit einem Bleistift.","Please write with a pencil."
"89","der Blick","Nomen","der","die Blicke","view / look","blick","Gefühle, Charakter & Meinung","","Das Zimmer hat einen schönen Blick auf das Meer.","The room has a beautiful view of the sea."
"90","die Blume","Nomen","die","die Blumen","flower","bloo-meh","Natur, Umwelt & Tiere","","Ich schenke meiner Mutter Blumen.","I give my mother flowers."
"91","der Bogen","Nomen","der","die Bögen","sheet (of paper) / form","bo-gen","Staat, Gesellschaft & Dokumente","","Bitte unterschreiben Sie den Bogen unten.","Please sign the form at the bottom."
"92","brauchen","Verb","","","to need","brow-khen","Allgemeine Aktivitäten & Verben","","Ich brauche einen neuen Computer.","I need a new computer."
"93","breit","Adjektiv","","","wide / broad","brite","Eigenschaften & Adjektive","schmal","Die Straße ist sehr breit.","The street is very wide."
"94","der Brief","Nomen","der","die Briefe","letter","breef","Kommunikation, Medien & Sprache","","Ich schreibe meiner Freundin einen Brief.","I'm writing my friend a letter."
"95","die Briefmarke","Nomen","die","die Briefmarken","postage stamp","breef-mar-keh","Kommunikation, Medien & Sprache","","Für die Postkarte brauche ich eine Briefmarke.","For the postcard I need a stamp."
"96","bringen","Verb","","","to bring","bring-en","Allgemeine Aktivitäten & Verben","","Bring mir bitte ein Glas Wasser.","Please bring me a glass of water."
"97","das Brot","Nomen","das","die Brote","bread","broht","Essen, Kochen & Restaurant","","Zum Frühstück esse ich Brot mit Käse.","For breakfast I eat bread with cheese."
"98","der Bruder","Nomen","der","die Brüder","brother","broo-der","Person, Familie & Beziehungen","die Schwester","Mein Bruder ist älter als ich.","My brother is older than me."
"99","das Brötchen","Nomen","das","die Brötchen","bread roll / bun","brurt-khen","Essen, Kochen & Restaurant","","Am Morgen kaufe ich frische Brötchen.","In the morning I buy fresh rolls."
"100","das Buch","Nomen","das","die Bücher","book","bookh","Freizeit, Hobbys & Unterhaltung","","Ich lese gerade ein interessantes Buch.","I'm currently reading an interesting book."
"101","der Buchstabe","Nomen","der","die Buchstaben","letter (of the alphabet)","bookh-shtah-beh","Kommunikation, Medien & Sprache","die Zahl","Das Wort beginnt mit dem Buchstaben A.","The word begins with the letter A."
"102","buchstabieren","Verb","","","to spell","bookh-shtah-bee-ren","Kommunikation, Medien & Sprache","","Können Sie Ihren Namen buchstabieren?","Can you spell your name?"
"103","der Bus","Nomen","der","die Busse","bus","boos","Reise, Verkehr & Mobilität","","Ich fahre mit dem Bus in die Stadt.","I take the bus into town."
"104","die Butter","Nomen","die","","butter","boot-ter","Essen, Kochen & Restaurant","die Margarine","Die Butter ist im Kühlschrank.","The butter is in the fridge."
"105","die Bäckerei","Nomen","die","die Bäckereien","bakery","beck-e-rye","Einkaufen, Geld & Konsum","","In der Bäckerei riecht es nach frischem Brot.","The bakery smells of fresh bread."
"106","böse","Adjektiv","","","angry / bad / mean","bur-zeh","Gefühle, Charakter & Meinung","lieb","Bist du böse auf mich?","Are you angry with me?"
"107","das Café","Nomen","das","die Cafés","café / coffee shop","kah-fey","Essen, Kochen & Restaurant","","Wir treffen uns in einem Café.","We're meeting in a café."
"108","die CD","Nomen","die","die CDs","CD / compact disc","tsey-dey","Kommunikation, Medien & Sprache","","Diese CD höre ich sehr gern.","I really like listening to this CD."
"109","der Chef","Nomen","der","die Chefs","boss / supervisor","shef","Arbeit, Beruf & Karriere","der Angestellte","Mein Chef ist heute nicht im Büro.","My boss is not in the office today."
"110","der Computer","Nomen","der","die Computer","computer","kom-pyoo-ter","Kommunikation, Medien & Sprache","","Mein Computer ist sehr langsam.","My computer is very slow."
"111","da","Andere","","","there / here","dah","Basiswortschatz & Floskeln","weg","Da kommt endlich der Bus!","There comes the bus at last!"
"112","die Dame","Nomen","die","die Damen","lady","dah-meh","Basiswortschatz & Floskeln","der Herr","Die Dame am Schalter ist sehr freundlich.","The lady at the counter is very friendly."
"113","daneben","Andere","","","next to it / beside it","dah-ney-ben","Basiswortschatz & Floskeln","","Das ist mein Haus, und daneben wohnt mein Bruder.","That's my house, and my brother lives next to it."
"114","der Dank","Nomen","der","","thanks / gratitude","dahnk","Basiswortschatz & Floskeln","","Vielen Dank für deine Hilfe!","Many thanks for your help!"
"115","danke","Andere","","","thank you / thanks","dahn-keh","Basiswortschatz & Floskeln","bitte","Danke, das ist sehr nett.","Thank you, that's very kind."
"116","danken","Verb","","","to thank","dahn-ken","Kommunikation, Medien & Sprache","","Ich danke dir für das Geschenk.","I thank you for the present."
"117","dann","Andere","","","then","dahn","Uhrzeit, Datum & Kalender","zuerst","Erst esse ich, dann gehe ich schlafen.","First I eat, then I go to sleep."
"118","das Datum","Nomen","das","die Daten","date","dah-toom","Uhrzeit, Datum & Kalender","","Welches Datum haben wir heute?","What's the date today?"
"119","dauern","Verb","","","to last / to take (time)","dow-ern","Uhrzeit, Datum & Kalender","","Der Film dauert zwei Stunden.","The movie lasts two hours."
"120","dein-","Andere","","","your / yours","dine","Grammatik, Pronomen & Struktur","mein-","Sind das deine Schuhe?","Are those your shoes?"
"121","denn","Andere","","","because","den","Grammatik, Pronomen & Struktur","","Ich bleibe heute zu Hause, denn ich bin krank.","I'm staying home today because I'm sick."
"122","dich","Andere","","","you (accusative)","dikh","Grammatik, Pronomen & Struktur","mich","Ich rufe dich morgen an.","I'll call you tomorrow."
"123","dies-","Andere","","","this / these","dees","Grammatik, Pronomen & Struktur","jen-","Diese Tasche gefällt mir gut.","I like this bag."
"124","dir","Andere","","","you (dative)","deer","Grammatik, Pronomen & Struktur","mir","Ich gebe dir mein Buch.","I'll give you my book."
"125","die Disco","Nomen","die","die Discos","disco / club","dis-ko","Freizeit, Hobbys & Unterhaltung","","Am Samstag gehen wir in die Disco.","On Saturday we're going to the disco."
"126","der Doktor","Nomen","der","die Doktoren","doctor","dok-tor","Gesundheit, Körper & Pflege","der Patient","Der Doktor kommt gleich.","The doctor is coming right away."
"127","das Doppelzimmer","Nomen","das","die Doppelzimmer","double room","dop-pel-tsim-mer","Reise, Verkehr & Mobilität","das Einzelzimmer","Wir möchten ein Doppelzimmer für zwei Nächte.","We would like a double room for two nights."
"128","das Dorf","Nomen","das","die Dörfer","village","dorf","Wohnen, Haus & Haushalt","die Stadt","Meine Großeltern wohnen in einem kleinen Dorf.","My grandparents live in a small village."
"129","draußen","Andere","","","outside","drow-sen","Basiswortschatz & Floskeln","drinnen","Die Kinder spielen draußen im Garten.","The children are playing outside in the garden."
"130","drucken","Verb","","","to print","drook-ken","Allgemeine Aktivitäten & Verben","","Ich muss das Dokument noch drucken.","I still have to print the document."
"131","der Drucker","Nomen","der","die Drucker","printer","drook-ker","Kommunikation, Medien & Sprache","","Der Drucker ist leider kaputt.","Unfortunately, the printer is broken."
"132","drücken","Verb","","","to press / to push","drük-ken","Allgemeine Aktivitäten & Verben","ziehen","Drücken Sie bitte auf den Knopf.","Please press the button."
"133","durch","Präposition","","","through","doorkh","Grammatik, Pronomen & Struktur","","Wir gehen durch den Park.","We walk through the park."
"134","die Durchsage","Nomen","die","die Durchsagen","announcement","doorkh-zah-geh","Reise, Verkehr & Mobilität","","Haben Sie die Durchsage gehört?","Did you hear the announcement?"
"135","der Durst","Nomen","der","","thirst","doorst","Essen, Kochen & Restaurant","der Hunger","Ich habe Durst und trinke ein Glas Wasser.","I'm thirsty and drink a glass of water."
"136","die Dusche","Nomen","die","die Duschen","shower","doo-sheh","Wohnen, Haus & Haushalt","die Badewanne","Nach dem Sport gehe ich unter die Dusche.","After sports I take a shower."
"137","dürfen","Verb","","","to be allowed to / may","dur-fen","Allgemeine Aktivitäten & Verben","müssen","Darf ich hier rauchen?","May I smoke here?"
"138","die Ecke","Nomen","die","die Ecken","corner","eck-eh","Basiswortschatz & Floskeln","","Das Geschäft ist gleich um die Ecke.","The shop is just around the corner."
"139","die Ehefrau","Nomen","die","die Ehefrauen","wife","ey-eh-frow","Person, Familie & Beziehungen","der Ehemann","Seine Ehefrau heißt Anna.","His wife's name is Anna."
"140","der Ehemann","Nomen","der","die Ehemänner","husband","ey-eh-mahn","Person, Familie & Beziehungen","die Ehefrau","Ihr Ehemann arbeitet als Lehrer.","Her husband works as a teacher."
"141","das Ei","Nomen","das","die Eier","egg","eye","Essen, Kochen & Restaurant","","Zum Frühstück esse ich ein Ei.","For breakfast I eat an egg."
"142","eilig","Adjektiv","","","in a hurry / urgent","eye-likh","Eigenschaften & Adjektive","","Ich habe es heute sehr eilig.","I'm in a big hurry today."
"143","ein-","Andere","","","a / an / one","ine","Grammatik, Pronomen & Struktur","kein-","Ich habe nur ein Auto.","I have only one car."
"144","einfach","Adjektiv","","","easy / simple / one-way","ine-fakh","Eigenschaften & Adjektive","schwer","Diese Aufgabe ist sehr einfach.","This task is very easy."
"145","der Eingang","Nomen","der","die Eingänge","entrance","ine-gahng","Basiswortschatz & Floskeln","der Ausgang","Der Eingang ist auf der anderen Seite.","The entrance is on the other side."
"146","einkaufen","Verb","","","to shop / to buy groceries","ine-kow-fen","Einkaufen, Geld & Konsum","verkaufen","Am Samstag kaufe ich im Supermarkt ein.","On Saturday I shop at the supermarket."
"147","einladen","Verb","","","to invite","ine-lah-den","Allgemeine Aktivitäten & Verben","","Ich möchte dich zum Essen einladen.","I would like to invite you to dinner."
"148","die Einladung","Nomen","die","die Einladungen","invitation","ine-lah-doong","Basiswortschatz & Floskeln","","Vielen Dank für die Einladung zur Party.","Many thanks for the invitation to the party."
"149","einmal","Andere","","","once","ine-mahl","Zahlen, Maße & Mengen","nie","Ich war schon einmal in Berlin.","I have been to Berlin once."
"150","einsteigen","Verb","","","to get on / to board","ine-shty-gen","Reise, Verkehr & Mobilität","aussteigen","Bitte steigen Sie vorne in den Bus ein.","Please board the bus at the front."
"151","der Eintritt","Nomen","der","die Eintritte","admission / entry","ine-trit","Freizeit, Hobbys & Unterhaltung","","Der Eintritt ins Museum kostet zehn Euro.","Admission to the museum costs ten euros."
"152","das Einzelzimmer","Nomen","das","die Einzelzimmer","single room","ine-tsel-tsim-mer","Reise, Verkehr & Mobilität","das Doppelzimmer","Ich möchte ein Einzelzimmer mit Bad.","I would like a single room with a bathroom."
"153","die Eltern","Nomen","die","","parents","el-tern","Person, Familie & Beziehungen","die Kinder","Meine Eltern wohnen in Hamburg.","My parents live in Hamburg."
"154","die E-Mail","Nomen","die","die E-Mails","email","ee-mayl","Kommunikation, Medien & Sprache","der Brief","Ich schicke dir morgen eine E-Mail.","I'll send you an email tomorrow."
"155","empfehlen","Verb","","","to recommend","emp-fey-len","Allgemeine Aktivitäten & Verben","abraten","Können Sie mir ein gutes Restaurant empfehlen?","Can you recommend a good restaurant to me?"
"156","der Empfänger","Nomen","der","die Empfänger","recipient / receiver","emp-feng-er","Kommunikation, Medien & Sprache","der Absender","Auf dem Brief steht kein Empfänger.","There is no recipient on the letter."
"157","das Ende","Nomen","das","","end","en-deh","Basiswortschatz & Floskeln","der Anfang","Am Ende des Films habe ich geweint.","At the end of the movie I cried."
"158","enden","Verb","","","to end","en-den","Allgemeine Aktivitäten & Verben","beginnen","Der Kurs endet im Juli.","The course ends in July."
"159","entschuldigen","Verb","","","to excuse / to apologize","ent-shool-di-gen","Basiswortschatz & Floskeln","","Entschuldigen Sie bitte die Verspätung.","Please excuse the delay."
"160","die Entschuldigung","Nomen","die","die Entschuldigungen","apology / excuse me","ent-shool-di-goong","Basiswortschatz & Floskeln","","Entschuldigung, wo ist der Bahnhof?","Excuse me, where is the train station?"
"161","er","Andere","","","he","ehr","Grammatik, Pronomen & Struktur","sie","Er kommt heute später nach Hause.","He's coming home later today."
"162","das Ergebnis","Nomen","das","die Ergebnisse","result","er-gep-nis","Ausbildung, Schule & Studium","","Das Ergebnis der Prüfung ist gut.","The result of the exam is good."
"163","erklären","Verb","","","to explain","er-klair-en","Kommunikation, Medien & Sprache","","Kannst du mir diese Aufgabe erklären?","Can you explain this task to me?"
"164","erlauben","Verb","","","to allow / to permit","er-low-ben","Allgemeine Aktivitäten & Verben","verbieten","Meine Eltern erlauben mir das nicht.","My parents don't allow me that."
"165","der Erwachsene","Nomen","der","die Erwachsenen","adult","er-vahk-sen-eh","Person, Familie & Beziehungen","das Kind","Für Erwachsene kostet die Karte mehr.","For adults the ticket costs more."
"166","erzählen","Verb","","","to tell / to narrate","er-tsay-len","Kommunikation, Medien & Sprache","","Erzähl mir von deinem Urlaub!","Tell me about your vacation!"
"167","es","Andere","","","it","es","Grammatik, Pronomen & Struktur","","Es regnet seit heute Morgen.","It has been raining since this morning."
"168","essen","Verb","","","to eat","es-sen","Essen, Kochen & Restaurant","trinken","Wir essen heute Abend zusammen.","We're eating together this evening."
"169","das Essen","Nomen","das","","food / meal","es-sen","Essen, Kochen & Restaurant","das Getränk","Das Essen schmeckt sehr gut.","The food tastes very good."
"170","euer","Andere","","","your (plural)","oy-er","Grammatik, Pronomen & Struktur","unser","Ist das euer neues Haus?","Is that your new house?"
"171","fahren","Verb","","","to drive / to ride","fah-ren","Reise, Verkehr & Mobilität","halten","Wir fahren am Sonntag nach München.","We're driving to Munich on Sunday."
"172","der Fahrer","Nomen","der","die Fahrer","driver","fah-rer","Reise, Verkehr & Mobilität","der Beifahrer","Der Fahrer wartet vor dem Hotel.","The driver is waiting in front of the hotel."
"173","die Fahrkarte","Nomen","die","die Fahrkarten","ticket","far-kar-teh","Reise, Verkehr & Mobilität","","Ich kaufe eine Fahrkarte nach Köln.","I'm buying a ticket to Cologne."
"174","das Fahrrad","Nomen","das","die Fahrräder","bicycle / bike","far-raht","Reise, Verkehr & Mobilität","das Auto","Im Sommer fahre ich oft mit dem Fahrrad.","In summer I often ride my bicycle."
"175","falsch","Adjektiv","","","wrong / false","fahlsh","Eigenschaften & Adjektive","richtig","Diese Antwort ist leider falsch.","Unfortunately, this answer is wrong."
"176","die Familie","Nomen","die","die Familien","family","fah-mee-lee-eh","Person, Familie & Beziehungen","","Meine Familie ist sehr groß.","My family is very big."
